"MTU (UTC)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (UTC)","Intraday Price (EUR/MWh)"
"01/12/2025 10:00:00 - 01/12/2025 10:15:00","BZN|DE-LU","Sequence Sequence 2","100.95","",""
"01/12/2025 10:15:00 - 01/12/2025 10:30:00","BZN|DE-LU","Sequence Sequence 1","86.30","",""
"01/12/2025 10:15:00 - 01/12/2025 10:30:00","BZN|DE-LU","Sequence Sequence 2","98.40","",""
"01/12/2025 10:30:00 - 01/12/2025 10:45:00","BZN|DE-LU","Sequence Sequence 1","83.32","",""
"01/12/2025 10:30:00 - 01/12/2025 10:45:00","BZN|DE-LU","Sequence Sequence 2","103.40","",""
"01/12/2025 10:45:00 - 01/12/2025 11:00:00","BZN|DE-LU","Sequence Sequence 1","83.64","",""
"01/12/2025 10:45:00 - 01/12/2025 11:00:00","BZN|DE-LU","Sequence Sequence 2","92.40","",""
"01/12/2025 11:00:00 - 01/12/2025 11:15:00","BZN|DE-LU","Sequence Sequence 1","86.29","",""
"01/12/2025 11:00:00 - 01/12/2025 11:15:00","BZN|DE-LU","Sequence Sequence 2","103.59","",""
"01/12/2025 11:15:00 - 01/12/2025 11:30:00","BZN|DE-LU","Sequence Sequence 1","81.40","",""
"01/12/2025 11:15:00 - 01/12/2025 11:30:00","BZN|DE-LU","Sequence Sequence 2","89.60","",""
"01/12/2025 11:30:00 - 01/12/2025 11:45:00","BZN|DE-LU","Sequence Sequence 1","84.90","",""
"01/12/2025 11:30:00 - 01/12/2025 11:45:00","BZN|DE-LU","Sequence Sequence 2","88.60","",""
"01/12/2025 11:45:00 - 01/12/2025 12:00:00","BZN|DE-LU","Sequence Sequence 1","87.48","",""
"01/12/2025 11:45:00 - 01/12/2025 12:00:00","BZN|DE-LU","Sequence Sequence 2","93.17","",""
"01/12/2025 12:00:00 - 01/12/2025 12:15:00","BZN|DE-LU","Sequence Sequence 1","86.19","",""
"01/12/2025 12:00:00 - 01/12/2025 12:15:00","BZN|DE-LU","Sequence Sequence 2","91.40","",""
"01/12/2025 12:15:00 - 01/12/2025 12:30:00","BZN|DE-LU","Sequence Sequence 1","86.98","",""
"01/12/2025 12:15:00 - 01/12/2025 12:30:00","BZN|DE-LU","Sequence Sequence 2","86.91","",""
"01/12/2025 12:30:00 - 01/12/2025 12:45:00","BZN|DE-LU","Sequence Sequence 1","89.91","",""
"01/12/2025 12:30:00 - 01/12/2025 12:45:00","BZN|DE-LU","Sequence Sequence 2","102.40","",""
"01/12/2025 12:45:00 - 01/12/2025 13:00:00","BZN|DE-LU","Sequence Sequence 1","97.20","",""
"01/12/2025 12:45:00 - 01/12/2025 13:00:00","BZN|DE-LU","Sequence Sequence 2","105.40","",""
"01/12/2025 13:00:00 - 01/12/2025 13:15:00","BZN|DE-LU","Sequence Sequence 1","98.21","",""
"01/12/2025 13:00:00 - 01/12/2025 13:15:00","BZN|DE-LU","Sequence Sequence 2","83.41","",""
"01/12/2025 13:15:00 - 01/12/2025 13:30:00","BZN|DE-LU","Sequence Sequence 1","106.89","",""
"01/12/2025 13:15:00 - 01/12/2025 13:30:00","BZN|DE-LU","Sequence Sequence 2","103.40","",""
"01/12/2025 13:30:00 - 01/12/2025 13:45:00","BZN|DE-LU","Sequence Sequence 1","114.77","",""
"01/12/2025 13:30:00 - 01/12/2025 13:45:00","BZN|DE-LU","Sequence Sequence 2","110.40","",""
"01/12/2025 13:45:00 - 01/12/2025 14:00:00","BZN|DE-LU","Sequence Sequence 1","109.00","",""
"01/12/2025 13:45:00 - 01/12/2025 14:00:00","BZN|DE-LU","Sequence Sequence 2","123.27","",""
"01/12/2025 14:00:00 - 01/12/2025 14:15:00","BZN|DE-LU","Sequence Sequence 1","117.43","",""
"01/12/2025 14:00:00 - 01/12/2025 14:15:00","BZN|DE-LU","Sequence Sequence 2","106.43","",""
"01/12/2025 14:15:00 - 01/12/2025 14:30:00","BZN|DE-LU","Sequence Sequence 1","122.89","",""
"01/12/2025 14:15:00 - 01/12/2025 14:30:00","BZN|DE-LU","Sequence Sequence 2","112.43","",""
"01/12/2025 14:30:00 - 01/12/2025 14:45:00","BZN|DE-LU","Sequence Sequence 1","126.75","",""
"01/12/2025 14:30:00 - 01/12/2025 14:45:00","BZN|DE-LU","Sequence Sequence 2","117.40","",""
"01/12/2025 14:45:00 - 01/12/2025 15:00:00","BZN|DE-LU","Sequence Sequence 1","114.22","",""
"01/12/2025 14:45:00 - 01/12/2025 15:00:00","BZN|DE-LU","Sequence Sequence 2","132.81","",""
"01/12/2025 15:00:00 - 01/12/2025 15:15:00","BZN|DE-LU","Sequence Sequence 1","118.92","",""
"01/12/2025 15:00:00 - 01/12/2025 15:15:00","BZN|DE-LU","Sequence Sequence 2","119.19","",""
"01/12/2025 15:15:00 - 01/12/2025 15:30:00","BZN|DE-LU","Sequence Sequence 1","119.94","",""
"01/12/2025 15:15:00 - 01/12/2025 15:30:00","BZN|DE-LU","Sequence Sequence 2","115.48","",""
"01/12/2025 15:30:00 - 01/12/2025 15:45:00","BZN|DE-LU","Sequence Sequence 1","112.45","",""
"01/12/2025 15:30:00 - 01/12/2025 15:45:00","BZN|DE-LU","Sequence Sequence 2","116.47","",""
"01/12/2025 15:45:00 - 01/12/2025 16:00:00","BZN|DE-LU","Sequence Sequence 1","100.55","",""
"01/12/2025 15:45:00 - 01/12/2025 16:00:00","BZN|DE-LU","Sequence Sequence 2","134.98","",""
"01/12/2025 16:00:00 - 01/12/2025 16:15:00","BZN|DE-LU","Sequence Sequence 1","89.91","",""
"01/12/2025 16:00:00 - 01/12/2025 16:15:00","BZN|DE-LU","Sequence Sequence 2","129.93","",""
"01/12/2025 16:15:00 - 01/12/2025 16:30:00","BZN|DE-LU","Sequence Sequence 1","97.82","",""
"01/12/2025 16:15:00 - 01/12/2025 16:30:00","BZN|DE-LU","Sequence Sequence 2","125.57","",""
"01/12/2025 16:30:00 - 01/12/2025 16:45:00","BZN|DE-LU","Sequence Sequence 1","100.56","",""
"01/12/2025 16:30:00 - 01/12/2025 16:45:00","BZN|DE-LU","Sequence Sequence 2","110.50","",""
"01/12/2025 16:45:00 - 01/12/2025 17:00:00","BZN|DE-LU","Sequence Sequence 1","89.36","",""
"01/12/2025 16:45:00 - 01/12/2025 17:00:00","BZN|DE-LU","Sequence Sequence 2","108.50","",""
